date,liberal,liberal_strength,liberal_file,liberal_title,conservative,conservative_strength,conservative_file,conservative_title
2011-05-04,0,0,,,0,0,,
2011-05-05,0,0,,,0,0,,
2011-05-06,0,0,,,1,0.9690065520055208,547d29eb503b0b2373d0f55e,Time for Daylight: U.S. Weapons Reaching Cartel Hands a Huge Scandal
2011-05-07,0,0,,,0,1.0147388034338138,,
2011-05-08,0,0,,,0,0,,
2011-05-09,0,0,,,0,0,,
2011-05-10,0,0,,,0,1.443217746653497,,
2011-05-11,0,0,,,0,0,,
2011-05-12,0,0,,,0,0,,
2011-05-13,0,0,,,0,0,,
2011-05-14,0,0,,,0,0,,
2011-05-15,0,0,,,0,2.454465167271576,,
2011-05-16,0,0,,,0,0.9830376533387926,,
2011-05-17,0,0,,,0,1.0180631183158293,,
2011-05-18,0,0,,,7,1.0505008532992695,547d29e2503b0b2373d0f555,U.S. Weapons in Cartel Hands? Blame Uncle Sam
2011-05-19,0,0,,,0,0,,
2011-05-20,0,0,,,0,0,,
2011-05-21,0,0,,,0,0.9691404322856528,,
2011-05-22,0,0,,,0,0,,
2011-05-23,0,0,,,0,0,,
2011-05-24,0,0,,,0,0.998708876166674,,
2011-05-25,0,0,,,0,0,,
2011-05-26,0,0,,,0,1.7678297093401658,,
2011-05-27,0,0,,,0,0,,
2011-05-28,0,0,,,0,0.9211930003812868,,
2011-05-29,0,0,,,0,0,,
2011-05-30,0,0,,,3,0.9301251022853064,547d29e1503b0b2373d0f554,CA Braces for Coming Tidal Wave of Released Felons
2011-05-31,0,0,,,0,0.7770452490401695,,
2011-06-01,0,0,,,0,0,,
2011-06-02,0,0,,,0,0,,
2011-06-03,0,0,,,0,0,,
2011-06-04,0,0,,,0,0,,
2011-06-05,0,0,,,0,0,,
2011-06-06,0,0,,,21,0.8987670996669685,547d29df503b0b2373d0f552,CDC Misrepresents Their Crime Data to Promote Gun Control
2011-06-07,0,0,,,0,0,,
2011-06-08,0,0,,,4,0.8997115899413967,547d29de503b0b2373d0f551,The Case for SWAT Teams
2011-06-09,0,0,,,0,0,,
2011-06-10,0,0,,,0,0,,
2011-06-11,0,0,,,0,0.9674717778171567,,
2011-06-12,0,0,,,0,0,,
2011-06-13,0,0,,,0,0.9149457275675086,,
2011-06-14,0,0,,,0,0.9852284624247009,,
2011-06-15,0,0,,,0,0,,
2011-06-16,0,0,,,0,0,,
2011-06-17,0,0,,,0,0.9663157068773729,,
2011-06-18,0,0,,,0,0,,
2011-06-19,0,0,,,0,0,,
2011-06-20,0,0,,,92,4.74754193965794,547d29d4503b0b2373d0f54b,Mega-Scandal: Was  Gunwalker  a PR Op for Gun Control?
2011-06-21,0,0,,,629,1.6984687788970219,547d2c41503b0b2373d0f75c,Reminder: Another zealot waiting in ATF wings
2011-06-22,0,0,,,7,3.1263592757403353,547d1cd3503b0b22c73c72eb, Fast and Furious  Indeed   The Real Motive Behind the  Gun Walker  Fiasco
2011-06-23,0,0,,,0,1.272314767959229,,
2011-06-24,0,0,,,1,2.065556433855715,547d29ca503b0b2373d0f545,The Assault Weapons Ban: How Silly Was It? (Part Two)
2011-06-25,0,0,,,3,2.5800580422480834,547d29c5503b0b2373d0f542,"After 61 Years, Korean War Offers Modern Lessons"
2011-06-26,0,0,,,0,0,,
2011-06-27,0,0,,,0,0,,
2011-06-28,0,0,,,2,2.0937631453768217,547d29c3503b0b2373d0f540,Gunwalker: What Will Happen When Ken Melson Testifies?
2011-06-29,0,0,,,0,0.9594416902623591,,
2011-06-30,0,0,,,7,3.322591293094545,547d29c0503b0b2373d0f53d,Rep. Cummings  Gunwalker Report Neglects To Mention   Gunwalker
2011-07-01,0,0,,,0,0,,
